                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0705,                 0.8367,                0.84145,                0.72711,                0.46132,                0.51249,                0.30427,                 1.0148,                0.54442,                0.82272,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.0885,                0.57706,                0.84006,                0.73513,                 0.4982,                0.54832,                  0.328,                 1.0041,                0.52138,                 0.8245,              0.0065979,              0.0065979,              0.0065979
                      3,                 1.1415,                0.59306,                0.84923,                0.75598,                0.49637,                0.54743,                0.33559,                0.98022,                0.51267,                0.82949,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.1152,                0.57528,                0.84759,                0.76252,                0.49762,                0.55799,                0.34962,                0.94589,                0.49916,                0.82578,               0.009703,               0.009703,               0.009703
                      5,                 1.0507,                0.53667,                0.84006,                0.75981,                0.52827,                 0.5919,                0.38073,                0.89393,                0.47091,                0.82259,               0.009703,               0.009703,               0.009703
                      6,                 1.0044,                0.51102,                0.83504,                0.77874,                0.53635,                 0.5966,                0.38012,                0.88884,                0.45592,                0.82078,               0.009604,               0.009604,               0.009604
                      7,                0.97293,                0.49258,                0.82988,                0.77862,                0.53299,                  0.607,                0.39145,                0.88439,                 0.4507,                0.81728,               0.009505,               0.009505,               0.009505
                      8,                0.94648,                0.47888,                0.82563,                0.78753,                0.53429,                0.60124,                0.38431,                0.86927,                0.44613,                0.81404,               0.009406,               0.009406,               0.009406
                      9,                 0.9287,                0.46821,                0.82385,                0.79729,                0.54026,                0.61579,                0.40101,                0.85741,                0.43757,                  0.813,               0.009307,               0.009307,               0.009307
                     10,                0.92244,                0.46533,                0.82311,                0.79125,                 0.5571,                0.63128,                0.41692,                0.83449,                0.42666,                0.81051,               0.009208,               0.009208,               0.009208
                     11,                0.90257,                0.45451,                0.82104,                 0.7966,                0.55865,                0.62651,                0.41291,                0.82724,                0.41915,                0.80753,               0.009109,               0.009109,               0.009109
                     12,                0.89273,                0.44589,                0.81854,                0.79207,                0.55898,                0.62894,                0.41939,                0.81573,                0.40941,                0.80841,                0.00901,                0.00901,                0.00901
                     13,                0.88121,                0.43988,                0.81749,                0.81002,                0.56134,                0.63907,                 0.4258,                0.81091,                0.40372,                0.80714,               0.008911,               0.008911,               0.008911
                     14,                0.86805,                0.43306,                 0.8155,                 0.8082,                0.56354,                0.64382,                 0.4329,                0.80011,                0.39905,                0.80585,               0.008812,               0.008812,               0.008812
                     15,                0.86301,                0.42803,                0.81472,                0.81032,                0.56046,                 0.6462,                0.42848,                0.80047,                0.39652,                0.80518,               0.008713,               0.008713,               0.008713
                     16,                0.85327,                0.42145,                0.81254,                 0.7853,                0.56502,                0.64621,                0.43632,                0.78951,                0.39097,                0.80371,               0.008614,               0.008614,               0.008614
                     17,                0.84398,                0.42123,                0.81225,                0.80378,                0.57038,                 0.6423,                0.43284,                0.78978,                0.39496,                0.80407,               0.008515,               0.008515,               0.008515
                     18,                0.83651,                0.41422,                0.81134,                0.79778,                0.57704,                0.65246,                0.44018,                0.78284,                0.38606,                0.80301,               0.008416,               0.008416,               0.008416
                     19,                 0.8307,                0.40981,                0.81009,                0.81874,                0.57282,                0.65893,                0.44632,                0.78162,                0.38333,                 0.8019,               0.008317,               0.008317,               0.008317
                     20,                0.82523,                0.40821,                0.80922,                0.81362,                0.56799,                 0.6508,                0.44517,                0.77048,                0.37968,                0.80166,               0.008218,               0.008218,               0.008218
                     21,                0.82023,                0.40541,                0.80771,                0.79953,                0.56188,                0.64205,                0.43831,                 0.7727,                0.38467,                 0.8008,               0.008119,               0.008119,               0.008119
                     22,                0.80765,                0.40169,                0.80836,                0.80492,                0.58155,                0.66011,                0.45026,                0.76117,                 0.3779,                0.80041,                0.00802,                0.00802,                0.00802
                     23,                0.80834,                0.39784,                 0.8072,                0.80797,                0.58028,                0.66202,                0.45291,                0.75996,                 0.3727,                0.80065,               0.007921,               0.007921,               0.007921
                     24,                0.80224,                0.39351,                0.80576,                0.81188,                0.58687,                0.66652,                0.45564,                0.76041,                0.37261,                0.80046,               0.007822,               0.007822,               0.007822
                     25,                0.78996,                0.38883,                0.80411,                0.81221,                0.58571,                0.66485,                0.45579,                0.75907,                0.36516,                0.79994,               0.007723,               0.007723,               0.007723
                     26,                0.78395,                0.38686,                0.80551,                0.81767,                0.58161,                 0.6653,                0.45672,                0.74417,                0.36301,                0.79787,               0.007624,               0.007624,               0.007624
                     27,                0.78288,                0.38412,                0.80416,                0.82315,                0.58635,                0.67376,                0.46091,                0.74219,                0.36183,                 0.7976,               0.007525,               0.007525,               0.007525
                     28,                0.77314,                0.37896,                0.80434,                 0.8178,                0.58744,                0.67749,                0.46855,                0.73498,                0.35661,                0.79686,               0.007426,               0.007426,               0.007426
                     29,                0.76948,                0.37691,                0.80307,                0.81298,                0.58748,                0.67679,                0.46995,                0.73722,                0.35702,                  0.797,               0.007327,               0.007327,               0.007327
                     30,                0.76428,                0.37449,                0.80123,                 0.8152,                 0.5877,                0.67442,                0.46908,                0.73459,                0.35226,                 0.7968,               0.007228,               0.007228,               0.007228
                     31,                 0.7642,                0.37514,                0.80017,                0.82184,                0.59396,                0.68203,                0.47353,                0.72954,                0.35095,                 0.7967,               0.007129,               0.007129,               0.007129
                     32,                0.75651,                0.37086,                0.80181,                0.82728,                0.58881,                0.68374,                0.47565,                0.73377,                0.35245,                0.79713,                0.00703,                0.00703,                0.00703
                     33,                0.75221,                0.36979,                0.80101,                0.81776,                0.59431,                0.67818,                0.46946,                0.72848,                0.35299,                0.79663,               0.006931,               0.006931,               0.006931
                     34,                0.74935,                0.36786,                0.80084,                0.82046,                0.59839,                0.68672,                0.48038,                0.72428,                0.34746,                0.79612,               0.006832,               0.006832,               0.006832
                     35,                0.74308,                0.36347,                0.79976,                0.82616,                0.59499,                0.68376,                0.47773,                 0.7221,                0.34642,                0.79572,               0.006733,               0.006733,               0.006733
                     36,                0.74346,                0.36411,                0.79975,                0.82221,                0.59391,                0.68278,                0.47583,                0.72421,                0.34514,                0.79543,               0.006634,               0.006634,               0.006634
                     37,                 0.7419,                0.36318,                0.79764,                0.82322,                0.59768,                0.68864,                0.48399,                0.71848,                0.34297,                0.79489,               0.006535,               0.006535,               0.006535
                     38,                0.73524,                0.35796,                0.79884,                  0.824,                0.60158,                0.69044,                0.48307,                0.71689,                0.33899,                0.79483,               0.006436,               0.006436,               0.006436
                     39,                0.73227,                0.35756,                0.79848,                0.82949,                0.59444,                0.68802,                0.48224,                0.71431,                0.34062,                0.79431,               0.006337,               0.006337,               0.006337
                     40,                0.72939,                0.35685,                0.79838,                0.82005,                0.60397,                0.68879,                0.48151,                0.71249,                0.33659,                0.79449,               0.006238,               0.006238,               0.006238
                     41,                0.72976,                0.35438,                0.79735,                0.82198,                0.60458,                0.69385,                0.48808,                0.71091,                0.33861,                0.79347,               0.006139,               0.006139,               0.006139
                     42,                0.72747,                0.35413,                0.79762,                0.82145,                0.60562,                0.69584,                0.49122,                0.70552,                0.33551,                0.79368,                0.00604,                0.00604,                0.00604
