                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1236,                0.95521,                0.85045,                0.75429,                0.46582,                 0.5214,                0.32082,                0.96607,                0.51272,                0.82134,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.0967,                0.58498,                0.83688,                0.73705,                0.47306,                0.53361,                0.32578,                 1.0041,                0.53518,                0.83125,               0.006596,               0.006596,               0.006596
                      3,                  1.135,                0.59617,                0.84444,                0.76057,                0.48811,                0.55024,                0.33917,                0.96456,                0.54515,                0.83041,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.1099,                0.58018,                0.84549,                0.75869,                0.48183,                0.54843,                0.34283,                0.97552,                0.52236,                0.83136,               0.009703,               0.009703,               0.009703
                      5,                 1.0483,                 0.5441,                0.83821,                0.76276,                0.50326,                0.56825,                0.36077,                0.91319,                0.48278,                0.82048,               0.009703,               0.009703,               0.009703
                      6,                 1.0079,                0.51597,                0.83279,                0.76459,                0.52587,                0.57359,                0.36034,                0.91573,                0.47401,                0.82095,               0.009604,               0.009604,               0.009604
                      7,                0.97105,                0.49651,                0.82793,                0.79602,                0.52263,                0.59675,                0.38536,                0.87757,                0.45843,                0.82061,               0.009505,               0.009505,               0.009505
                      8,                0.94501,                0.48376,                0.82402,                0.78883,                0.52523,                0.59732,                0.38366,                 0.8795,                0.44887,                0.81642,               0.009406,               0.009406,               0.009406
                      9,                0.93679,                0.47414,                0.82161,                0.77805,                0.53042,                0.60381,                0.39407,                0.86207,                0.44362,                0.81372,               0.009307,               0.009307,               0.009307
                     10,                0.92264,                0.46761,                 0.8197,                0.78966,                0.54326,                0.61566,                0.40111,                 0.8361,                0.43002,                0.81101,               0.009208,               0.009208,               0.009208
                     11,                0.90079,                0.45849,                0.81798,                0.78663,                0.54728,                0.62162,                0.40714,                0.83772,                0.42607,                0.81209,               0.009109,               0.009109,               0.009109
                     12,                  0.897,                0.45058,                0.81825,                0.79048,                0.54206,                0.61844,                0.40682,                0.82928,                0.42137,                0.81148,                0.00901,                0.00901,                0.00901
                     13,                0.88732,                0.44446,                0.81511,                 0.7842,                0.54623,                0.62355,                 0.4117,                0.82674,                0.42128,                 0.8098,               0.008911,               0.008911,               0.008911
                     14,                0.87422,                0.44015,                0.81366,                0.79691,                0.55424,                0.62818,                0.41399,                0.81197,                0.41011,                0.80689,               0.008812,               0.008812,               0.008812
                     15,                0.85918,                0.43108,                  0.813,                0.80326,                 0.5423,                0.62498,                0.41517,                0.81332,                 0.4068,                0.80731,               0.008713,               0.008713,               0.008713
                     16,                0.85145,                0.42546,                0.81045,                0.79911,                0.56481,                0.64413,                0.43313,                0.79115,                0.39484,                0.80751,               0.008614,               0.008614,               0.008614
                     17,                0.84116,                0.42134,                0.80923,                0.80862,                0.56073,                0.64071,                 0.4312,                0.78589,                0.39869,                 0.8044,               0.008515,               0.008515,               0.008515
                     18,                0.83525,                0.41666,                0.81073,                0.80998,                0.56369,                0.64992,                 0.4411,                0.78213,                0.38868,                0.80468,               0.008416,               0.008416,               0.008416
                     19,                0.83006,                0.41409,                0.80935,                0.80263,                0.55989,                0.64522,                0.43657,                0.78226,                0.38839,                0.80437,               0.008317,               0.008317,               0.008317
                     20,                0.82052,                0.41082,                0.80806,                 0.7988,                0.56656,                0.65125,                0.43769,                0.77732,                 0.3847,                0.80491,               0.008218,               0.008218,               0.008218
                     21,                0.81573,                0.40905,                0.80853,                0.81174,                0.56516,                0.65429,                0.44393,                0.76933,                0.38118,                0.80195,               0.008119,               0.008119,               0.008119
