                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4982,                 2.0741,                 0.9152,                0.53172,                0.32829,                0.33218,                 0.1861,                 1.2914,                 1.1481,                 0.8715,              0.0033165,              0.0033165,              0.0033165
                      2,                  1.342,                  1.067,                0.87716,                0.81735,                 0.3569,                0.40692,                0.22545,                 1.2315,                0.90144,                 0.8611,               0.006584,               0.006584,               0.006584
                      3,                 1.3157,                0.92727,                0.87606,                0.67305,                0.41369,                0.44311,                0.25353,                 1.1618,                 0.7715,                0.85201,              0.0097855,              0.0097855,              0.0097855
                      4,                 1.2726,                0.82527,                0.86702,                0.67947,                0.43639,                0.46655,                0.27109,                 1.1159,                0.69657,                0.84305,               0.009703,               0.009703,               0.009703
                      5,                 1.1913,                0.71449,                0.85346,                0.68783,                0.44302,                0.49158,                0.29367,                 1.0537,                0.62536,                0.83856,               0.009703,               0.009703,               0.009703
                      6,                 1.1445,                0.65595,                0.84893,                0.72837,                0.46821,                0.51285,                 0.3054,                  1.035,                0.57602,                0.83209,               0.009604,               0.009604,               0.009604
                      7,                 1.1027,                 0.6171,                0.84215,                0.72969,                0.46748,                0.51773,                0.31957,                0.98139,                0.56893,                0.82927,               0.009505,               0.009505,               0.009505
                      8,                 1.0771,                0.58819,                0.83793,                 0.7217,                0.45997,                0.51555,                0.31855,                0.98896,                0.56045,                0.82865,               0.009406,               0.009406,               0.009406
                      9,                 1.0583,                0.57286,                0.83642,                0.75659,                0.47294,                0.54027,                0.32953,                 1.0074,                0.54649,                0.83048,               0.009307,               0.009307,               0.009307
                     10,                 1.0397,                0.55627,                0.83474,                0.77465,                0.48253,                0.54511,                0.33438,                0.98682,                0.51441,                0.82782,               0.009208,               0.009208,               0.009208
                     11,                 1.0294,                 0.5433,                0.83415,                0.76617,                0.49603,                 0.5521,                0.34302,                0.95527,                0.51059,                0.82454,               0.009109,               0.009109,               0.009109
                     12,                 1.0112,                 0.5347,                0.83084,                0.76399,                0.50262,                0.55418,                0.34557,                0.93355,                0.51082,                0.82352,                0.00901,                0.00901,                0.00901
                     13,                 1.0098,                0.52939,                0.82917,                0.75252,                0.49573,                0.55059,                0.34479,                0.93301,                0.49532,                0.82012,               0.008911,               0.008911,               0.008911
                     14,                0.98817,                0.51739,                0.82797,                0.77053,                0.50026,                 0.5691,                0.36076,                0.92091,                0.48284,                0.82163,               0.008812,               0.008812,               0.008812
                     15,                0.97847,                0.50861,                0.82648,                0.77107,                0.49569,                0.56819,                0.35917,                0.91456,                0.48325,                0.82011,               0.008713,               0.008713,               0.008713
                     16,                0.97602,                0.50259,                0.82523,                0.76777,                 0.5043,                0.57443,                0.36626,                0.91541,                0.47768,                0.81906,               0.008614,               0.008614,               0.008614
                     17,                0.96816,                0.50017,                0.82573,                0.73945,                0.49053,                0.55924,                0.34965,                0.94285,                0.49451,                 0.8223,               0.008515,               0.008515,               0.008515
                     18,                0.95884,                 0.4936,                0.82408,                 0.7679,                0.51335,                0.57018,                0.36147,                0.89544,                0.47278,                0.81598,               0.008416,               0.008416,               0.008416
                     19,                0.95194,                0.48778,                0.82102,                0.76369,                0.50923,                 0.5774,                0.37246,                0.88598,                0.46378,                0.81557,               0.008317,               0.008317,               0.008317
                     20,                 0.9441,                0.48395,                0.81937,                0.77735,                0.50478,                0.58145,                0.37295,                0.89353,                0.45668,                0.81468,               0.008218,               0.008218,               0.008218
                     21,                0.93261,                0.47712,                0.82061,                0.76904,                0.52229,                 0.5882,                0.37876,                0.87514,                0.44963,                0.81365,               0.008119,               0.008119,               0.008119
                     22,                 0.9331,                0.47582,                0.81998,                0.78929,                0.52035,                0.58967,                0.38027,                0.87669,                 0.4471,                0.81402,                0.00802,                0.00802,                0.00802
                     23,                0.93288,                0.47337,                0.81909,                0.79193,                0.52392,                0.59878,                 0.3858,                0.86695,                 0.4457,                0.81243,               0.007921,               0.007921,               0.007921
                     24,                0.92171,                0.46768,                0.81719,                0.77649,                0.51323,                0.58254,                0.37468,                0.87568,                 0.4497,                0.81445,               0.007822,               0.007822,               0.007822
                     25,                0.92004,                0.46817,                0.81891,                0.77703,                 0.5282,                0.58994,                0.38148,                0.86282,                0.44453,                0.81096,               0.007723,               0.007723,               0.007723
                     26,                0.92037,                0.46763,                0.81701,                0.78187,                0.52512,                0.59806,                0.38613,                0.86563,                0.43647,                0.81129,               0.007624,               0.007624,               0.007624
                     27,                0.91171,                0.46107,                0.81801,                0.78634,                0.52302,                0.59494,                0.38553,                0.85545,                0.43493,                0.81006,               0.007525,               0.007525,               0.007525
                     28,                0.90889,                0.45938,                0.81484,                0.79367,                0.52742,                0.60356,                 0.3925,                0.85104,                0.43225,                 0.8105,               0.007426,               0.007426,               0.007426
                     29,                0.90178,                0.45729,                0.81537,                0.78636,                0.52818,                0.60391,                0.39429,                0.85279,                0.43222,                0.80997,               0.007327,               0.007327,               0.007327
                     30,                0.90399,                 0.4594,                0.81558,                0.77799,                0.53557,                 0.6074,                0.39287,                0.84933,                0.43393,                0.80897,               0.007228,               0.007228,               0.007228
                     31,                0.89569,                0.45158,                 0.8145,                0.79101,                0.53589,                0.60599,                0.39361,                0.84067,                0.42551,                0.80822,               0.007129,               0.007129,               0.007129
                     32,                0.88754,                0.44689,                0.81269,                0.80095,                0.53584,                0.61129,                0.39856,                0.84596,                0.42446,                0.81016,                0.00703,                0.00703,                0.00703
                     33,                0.88221,                0.44436,                 0.8127,                0.79269,                0.53924,                0.61689,                0.40128,                0.84477,                0.42557,                0.80825,               0.006931,               0.006931,               0.006931
                     34,                0.87994,                 0.4437,                0.81334,                0.79832,                0.53695,                0.60995,                0.39643,                0.83968,                0.42063,                 0.8077,               0.006832,               0.006832,               0.006832
                     35,                0.87751,                0.44281,                 0.8127,                0.80063,                0.53133,                0.61013,                0.39937,                0.83031,                 0.4167,                0.80678,               0.006733,               0.006733,               0.006733
                     36,                0.86879,                 0.4374,                0.81068,                0.79869,                0.53195,                0.61305,                0.40373,                0.82741,                0.41383,                0.80738,               0.006634,               0.006634,               0.006634
                     37,                0.86805,                0.43685,                0.81174,                0.79727,                0.53955,                0.61285,                0.39953,                0.82617,                0.41452,                0.80603,               0.006535,               0.006535,               0.006535
                     38,                0.86127,                0.43316,                0.81096,                0.78944,                0.54348,                0.62253,                0.41181,                0.82436,                0.41121,                0.80639,               0.006436,               0.006436,               0.006436
