                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2675,                 1.1565,                0.87695,                0.71613,                0.40349,                0.46005,                 0.2733,                 1.0888,                0.61226,                0.82783,               0.003324,               0.003324,               0.003324
                      2,                 1.1816,                0.65826,                0.84491,                0.69551,                0.44775,                0.49356,                0.29385,                 1.0757,                0.58782,                0.83006,              0.0065914,              0.0065914,              0.0065914
                      3,                 1.1921,                0.64627,                0.84774,                0.72679,                0.45429,                0.50577,                0.29713,                 1.1104,                0.59148,                0.83962,              0.0097928,              0.0097928,              0.0097928
                      4,                 1.1633,                0.62492,                0.84439,                0.77507,                0.45731,                0.52391,                0.31722,                 1.0011,                 0.5565,                0.82488,               0.009703,               0.009703,               0.009703
                      5,                 1.0871,                0.57603,                0.83488,                0.75445,                0.47931,                0.54435,                0.33649,                0.98479,                0.53378,                0.82495,               0.009703,               0.009703,               0.009703
                      6,                 1.0457,                0.54846,                0.83224,                 0.7419,                0.50359,                0.55774,                0.34605,                0.94029,                0.51588,                0.81879,               0.009604,               0.009604,               0.009604
                      7,                 1.0081,                0.52614,                0.82671,                0.77581,                 0.5083,                0.57375,                 0.3612,                0.92916,                0.49549,                 0.8161,               0.009505,               0.009505,               0.009505
                      8,                0.99248,                0.51234,                0.82465,                0.77177,                0.51615,                0.58163,                0.37086,                0.90802,                0.47638,                0.81652,               0.009406,               0.009406,               0.009406
                      9,                0.96747,                0.50012,                0.82256,                0.73186,                0.51997,                0.57635,                0.37373,                0.88278,                0.46901,                0.81195,               0.009307,               0.009307,               0.009307
                     10,                0.95446,                 0.4879,                0.81959,                0.79054,                0.51934,                0.59509,                0.37793,                0.88977,                0.46167,                0.81241,               0.009208,               0.009208,               0.009208
                     11,                0.94583,                0.48681,                0.81912,                0.78756,                0.53278,                0.60652,                0.39126,                0.86746,                0.44721,                0.81142,               0.009109,               0.009109,               0.009109
                     12,                0.92943,                0.47234,                0.81815,                0.78372,                0.53497,                 0.6062,                0.39357,                0.85686,                0.44069,                0.81133,                0.00901,                0.00901,                0.00901
                     13,                0.91391,                0.46589,                 0.8157,                0.77355,                0.52868,                0.60672,                0.38988,                 0.8627,                0.44662,                0.81109,               0.008911,               0.008911,               0.008911
                     14,                0.90706,                0.46148,                0.81386,                0.80692,                0.53237,                0.61554,                0.40308,                0.85271,                0.43534,                0.80767,               0.008812,               0.008812,               0.008812
