                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0493,                0.80241,                0.84147,                0.75602,                0.48999,                0.54697,                0.34428,                0.90559,                0.48374,                0.81598,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.0534,                0.56145,                0.83367,                0.77152,                0.49948,                0.55036,                0.33992,                0.94524,                0.48467,                0.82212,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.1047,                 0.5819,                0.84324,                0.76164,                0.50548,                0.56549,                0.34727,                0.97245,                0.50691,                0.83146,              0.0098002,              0.0098002,              0.0098002
                      4,                 1.1032,                0.56955,                0.84616,                 0.7728,                0.51382,                0.57242,                0.36661,                 0.9226,                0.48211,                0.82528,               0.009703,               0.009703,               0.009703
                      5,                 1.0354,                0.52859,                0.83791,                0.76163,                0.52639,                0.59456,                0.38296,                0.90165,                 0.4616,                0.82273,               0.009703,               0.009703,               0.009703
                      6,                0.99294,                0.50753,                0.83283,                0.78046,                0.52731,                  0.597,                0.38358,                0.89368,                0.45681,                0.81771,               0.009604,               0.009604,               0.009604
                      7,                0.96732,                0.48888,                0.83022,                0.76534,                0.54615,                0.60941,                0.39293,                0.86549,                0.44376,                0.81413,               0.009505,               0.009505,               0.009505
                      8,                0.93615,                0.47427,                0.82335,                0.80669,                0.52924,                0.61314,                0.40484,                0.84399,                0.43331,                0.81344,               0.009406,               0.009406,               0.009406
                      9,                0.91964,                0.46348,                 0.8239,                0.78381,                 0.5486,                0.61826,                0.40703,                0.83532,                0.42059,                0.81355,               0.009307,               0.009307,               0.009307
                     10,                0.91045,                0.46108,                 0.8211,                 0.8048,                0.54669,                0.62327,                 0.4133,                0.82529,                0.41851,                0.81126,               0.009208,               0.009208,               0.009208
                     11,                0.89595,                0.44879,                0.81951,                0.76801,                0.55906,                0.62406,                0.41526,                 0.8043,                0.41425,                0.80684,               0.009109,               0.009109,               0.009109
                     12,                0.87831,                0.43964,                0.81678,                0.80358,                0.56547,                0.64031,                0.42403,                0.80245,                0.40456,                0.80736,                0.00901,                0.00901,                0.00901
                     13,                0.87421,                0.43587,                0.81606,                0.80997,                0.55285,                0.64222,                0.42872,                0.80278,                0.40497,                0.80776,               0.008911,               0.008911,               0.008911
                     14,                0.85302,                0.42628,                0.81277,                0.81252,                 0.5634,                 0.6418,                0.42665,                0.80086,                0.39858,                0.80556,               0.008812,               0.008812,               0.008812
                     15,                0.85264,                0.42465,                0.81383,                0.79918,                0.56185,                0.64532,                0.43336,                0.79057,                0.39476,                0.80563,               0.008713,               0.008713,               0.008713
                     16,                0.84225,                0.41851,                0.81219,                0.81863,                0.56568,                0.65676,                0.44338,                0.77516,                0.38447,                0.80282,               0.008614,               0.008614,               0.008614
                     17,                 0.8347,                 0.4163,                0.81028,                0.81832,                0.57484,                 0.6556,                0.44081,                0.77418,                0.38536,                0.80289,               0.008515,               0.008515,               0.008515
                     18,                0.82685,                0.41225,                0.81028,                0.81562,                0.57911,                0.66167,                0.44569,                0.77502,                0.38365,                0.80224,               0.008416,               0.008416,               0.008416
                     19,                0.82123,                0.40753,                 0.8091,                0.81064,                0.57973,                0.66259,                0.45145,                0.76722,                  0.377,                 0.8015,               0.008317,               0.008317,               0.008317
                     20,                  0.814,                0.40257,                0.80814,                0.80866,                0.57737,                 0.6595,                0.45031,                0.75957,                0.37624,                0.80011,               0.008218,               0.008218,               0.008218
                     21,                0.80203,                0.39738,                0.80646,                0.82066,                0.57328,                0.66632,                0.45589,                0.75804,                0.37275,                0.80123,               0.008119,               0.008119,               0.008119
                     22,                0.79546,                0.39237,                0.80599,                0.81169,                0.58666,                0.66861,                0.45613,                0.75253,                 0.3698,                0.79932,                0.00802,                0.00802,                0.00802
                     23,                0.79705,                0.39425,                0.80585,                0.80438,                0.58502,                0.66738,                0.45805,                 0.7505,                0.37033,                0.79988,               0.007921,               0.007921,               0.007921
                     24,                0.78989,                0.39047,                0.80513,                0.80865,                0.58564,                0.67275,                0.46078,                0.74428,                0.36714,                0.79844,               0.007822,               0.007822,               0.007822
                     25,                0.77946,                0.38633,                0.80546,                0.81139,                0.57133,                 0.6611,                0.45761,                 0.7426,                 0.3641,                0.79889,               0.007723,               0.007723,               0.007723
                     26,                0.77949,                0.38244,                 0.8037,                0.81659,                0.58981,                0.67544,                0.46644,                0.73543,                0.35758,                 0.7992,               0.007624,               0.007624,               0.007624
                     27,                0.77283,                 0.3793,                0.80333,                0.81306,                0.59728,                0.68081,                0.47013,                0.73089,                0.35666,                0.79707,               0.007525,               0.007525,               0.007525
                     28,                0.76891,                0.37857,                0.80249,                0.82483,                0.59171,                  0.675,                0.46546,                  0.729,                0.35425,                0.79673,               0.007426,               0.007426,               0.007426
