                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5425,                 1.7732,                 2.7019,                0.91301,                0.82579,                0.15184,                0.15801,                0.09414,                0.80341,                0.13721,                0.13654,                0.07355,                 1.2689,                 1.3742,                   1.25,                0.85252,             0.00023681,             0.00023681,             0.00023681
                      2,                 1.2294,                 1.3933,                 1.3275,                0.85156,                0.75872,                0.20076,                0.20043,                0.12637,                0.73496,                0.19502,                0.19234,                0.11034,                 1.1274,                 1.2733,                 1.0214,                0.84501,              0.0004278,              0.0004278,              0.0004278
                      3,                 1.1761,                 1.3141,                 1.1411,                0.84369,                0.87738,                0.18491,                0.21077,                0.13253,                0.85933,                0.17517,                0.19913,                  0.107,                 1.1344,                  1.322,                0.92666,                0.84931,             0.00057167,             0.00057167,             0.00057167
                      4,                 1.1172,                 1.2615,                0.98703,                0.83536,                0.79618,                0.19661,                0.22452,                0.14667,                0.76547,                0.17951,                0.20604,                0.11822,                 1.0409,                 1.2014,                0.83414,                 0.8306,             0.00050194,             0.00050194,             0.00050194
                      5,                  1.091,                 1.2355,                0.89679,                0.83117,                0.60891,                0.21735,                0.23491,                0.15164,                0.57761,                0.19481,                0.20663,                0.12009,                 1.0502,                 1.1597,                0.83545,                0.83067,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.0507,                 1.1869,                0.84144,                0.82721,                0.86355,                0.20928,                0.24343,                 0.1581,                0.77486,                0.19538,                0.22351,                0.12736,                 1.0046,                 1.1766,                0.79931,                0.82857,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.0148,                 1.1734,                0.78334,                0.82213,                0.83802,                0.19817,                0.24476,                0.16137,                0.80505,                0.17857,                0.21276,                0.12312,                0.99714,                 1.1435,                0.76875,                0.82594,             0.00036057,             0.00036057,             0.00036057
                      8,                0.98938,                 1.1296,                0.73853,                0.81816,                0.74577,                0.21575,                0.25235,                0.17001,                0.70369,                0.19808,                0.22786,                0.13762,                0.94426,                 1.0713,                0.73868,                0.82137,             0.00028988,             0.00028988,             0.00028988
                      9,                0.95648,                 1.0857,                0.71064,                0.81611,                0.71169,                0.22675,                0.26028,                0.17104,                 0.6768,                0.20988,                0.23404,                0.13627,                0.95317,                 1.0865,                0.71425,                0.82116,              0.0002192,              0.0002192,              0.0002192
                     10,                0.93539,                 1.0656,                0.68467,                0.81361,                0.76908,                0.22391,                0.26178,                0.17648,                0.72614,                0.20888,                0.23702,                0.13813,                0.92108,                 1.0575,                0.71634,                0.81943,             0.00014851,             0.00014851,             0.00014851
