                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1119,                0.80969,                0.85625,                0.75853,                0.44105,                 0.5024,                0.29678,                 1.0572,                 0.5848,                0.84461,             0.00036992,             0.00036992,             0.00036992
                      2,                 1.0655,                0.57348,                0.84719,                0.77508,                0.47963,                0.54137,                0.33285,                0.97347,                0.51651,                0.83264,             0.00066697,             0.00066697,             0.00066697
                      3,                 1.0254,                0.53665,                0.84241,                0.77956,                0.47938,                0.54365,                0.33632,                0.97083,                0.52573,                0.83077,             0.00089069,             0.00089069,             0.00089069
                      4,                0.98315,                0.50576,                0.83259,                0.76958,                0.50374,                0.56943,                0.35816,                0.91333,                0.47028,                0.82165,             0.00078103,             0.00078103,             0.00078103
                      5,                0.94466,                 0.4748,                0.82864,                0.76197,                0.51586,                0.59413,                0.38084,                0.88024,                0.45398,                 0.8191,             0.00067104,             0.00067104,             0.00067104
                      6,                0.91041,                0.45466,                0.82284,                0.78012,                0.52905,                0.59097,                0.38148,                0.85915,                0.43724,                0.81554,             0.00056105,             0.00056105,             0.00056105
                      7,                0.88379,                0.43284,                0.81961,                0.77759,                0.53272,                 0.6083,                0.40092,                0.82154,                0.40993,                 0.8101,             0.00045107,             0.00045107,             0.00045107
                      8,                0.84607,                0.41192,                0.81341,                0.79555,                0.54179,                 0.6262,                0.41121,                0.81896,                0.40797,                0.80873,             0.00034108,             0.00034108,             0.00034108
                      9,                 0.8201,                0.39455,                0.80957,                0.80328,                0.55354,                 0.6329,                0.42308,                0.78421,                0.38436,                0.80484,             0.00023109,             0.00023109,             0.00023109
                     10,                0.78896,                0.37445,                0.80643,                0.81226,                0.55448,                0.64207,                0.43512,                0.77014,                0.36794,                 0.8026,              0.0001211,              0.0001211,              0.0001211
