                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1549,                0.79263,                0.86296,                0.72824,                0.41655,                0.47486,                0.28397,                 1.0642,                0.64815,                0.84907,             0.00037023,             0.00037023,             0.00037023
                      2,                 1.1306,                0.63715,                0.85755,                0.71015,                0.44856,                0.50318,                0.30184,                 1.0264,                0.57215,                0.83804,             0.00066725,             0.00066725,             0.00066725
                      3,                 1.1101,                 0.6046,                0.85516,                 0.7455,                0.44792,                0.50824,                0.31702,                0.99117,                0.54685,                0.83665,             0.00089094,             0.00089094,             0.00089094
                      4,                 1.0582,                0.56211,                0.84633,                0.74475,                0.46818,                0.53505,                0.33123,                0.98204,                0.52485,                0.83265,             0.00078103,             0.00078103,             0.00078103
                      5,                  1.013,                0.52466,                 0.8356,                0.76755,                 0.4933,                0.55563,                0.35281,                  0.918,                0.47935,                0.82485,             0.00067104,             0.00067104,             0.00067104
                      6,                0.96436,                0.49274,                0.82915,                0.76194,                0.50289,                0.57367,                0.36343,                0.90437,                0.46618,                0.82131,             0.00056105,             0.00056105,             0.00056105
                      7,                0.93259,                0.47093,                 0.8252,                0.75202,                0.51302,                0.57259,                0.36935,                0.87468,                0.44862,                0.81701,             0.00045107,             0.00045107,             0.00045107
                      8,                 0.9057,                 0.4453,                0.81879,                0.77815,                0.52389,                0.60431,                0.39279,                0.85214,                0.43014,                0.81235,             0.00034108,             0.00034108,             0.00034108
                      9,                0.86804,                0.42482,                0.81492,                0.77041,                0.53403,                 0.6012,                0.39431,                0.81709,                0.40647,                0.80831,             0.00023109,             0.00023109,             0.00023109
                     10,                0.84186,                0.40465,                0.81031,                0.79546,                0.53583,                0.61723,                0.41021,                0.80442,                0.38887,                0.80639,              0.0001211,              0.0001211,              0.0001211
